AUB.AX	Accident & Health Insurance
GLRE	Accident & Health Insurance
SFG	Accident & Health Insurance
AMIC	Accident & Health Insurance
GTS	Accident & Health Insurance
LRE.L	Accident & Health Insurance
EIG	Accident & Health Insurance
AIZ	Accident & Health Insurance
NHF.AX	Accident & Health Insurance
PRA	Accident & Health Insurance
TRUP	Accident & Health Insurance
AFL	Accident & Health Insurance
MIC.TO	Accident & Health Insurance
CNO	Accident & Health Insurance
UNM	Accident & Health Insurance
FAC	Accident & Health Insurance
SCRI	Advertising Agencies
DCS.MU	Advertising Agencies
XM8.F	Advertising Agencies
XBTC	Advertising Agencies
VISN	Advertising Agencies
QXQ.AX	Advertising Agencies
VEND	Advertising Agencies
DNAX	Advertising Agencies
IPG	Advertising Agencies
YUME	Advertising Agencies
PUB.PA	Advertising Agencies
MSHF	Advertising Agencies
SAX.BE	Advertising Agencies
TRS.L	Advertising Agencies
IDI	Advertising Agencies
CL2.SG	Advertising Agencies
XM8.SG	Advertising Agencies
0205.HK	Advertising Agencies
DEN.DU	Advertising Agencies
RVUE	Advertising Agencies
PHRM.L	Advertising Agencies
RLOC	Advertising Agencies
DCS.SG	Advertising Agencies
OMC	Advertising Agencies
DEC.PA	Advertising Agencies
CNET	Advertising Agencies
FUEL	Advertising Agencies
NMED	Advertising Agencies
SZMK	Advertising Agencies
SPN.V	Advertising Agencies
KITM	Advertising Agencies
WPP.L	Advertising Agencies
Y07.SI	Advertising Agencies
ZCNV.PA	Aerospace/Defense - Major Diversified
NOC	Aerospace/Defense - Major Diversified
MTX.DE	Aerospace/Defense - Major Diversified
RTN1.SG	Aerospace/Defense - Major Diversified
EAD.DE	Aerospace/Defense - Major Diversified
QY6.SG	Aerospace/Defense - Major Diversified
NTH.BE	Aerospace/Defense - Major Diversified
EAD.PA	Aerospace/Defense - Major Diversified
SWS.SG	Aerospace/Defense - Major Diversified
EOS.AX	Aerospace/Defense - Major Diversified
MAL.TO	Aerospace/Defense - Major Diversified
BA.L	Aerospace/Defense - Major Diversified
RR.L	Aerospace/Defense - Major Diversified
UEH.F	Aerospace/Defense - Major Diversified
NTH.DU	Aerospace/Defense - Major Diversified
MTX.F	Aerospace/Defense - Major Diversified
ZC.PA	Aerospace/Defense - Major Diversified
ZDC.BE	Aerospace/Defense - Major Diversified
QQ.L	Aerospace/Defense - Major Diversified
S51.SI	Aerospace/Defense - Major Diversified
EMRI	Aerospace/Defense - Major Diversified
EAC	Aerospace/Defense - Major Diversified
SDZ.V	Aerospace/Defense - Major Diversified
QHL.AX	Aerospace/Defense - Major Diversified
TIK	Aerospace/Defense - Major Diversified
B8O.F	Aerospace/Defense - Major Diversified
SDSS	Aerospace/Defense - Major Diversified
ZDC.F	Aerospace/Defense - Major Diversified
GDX.DU	Aerospace/Defense - Major Diversified
LAT.PA	Aerospace/Defense - Major Diversified
A04.SI	Aerospace/Defense - Major Diversified
S63.SI	Aerospace/Defense - Major Diversified
SAF.PA	Aerospace/Defense - Major Diversified
MGGT.L	Aerospace/Defense - Major Diversified
SNR.L	Aerospace/Defense - Major Diversified
ZDC.DU	Aerospace/Defense - Major Diversified
TXT	Aerospace/Defense - Major Diversified
BBD-B.TO	Aerospace/Defense - Major Diversified
GY	Aerospace/Defense - Major Diversified
SWS.BE	Aerospace/Defense - Major Diversified
